word,definition
أَسْرَى,"[س ر ي]. (فعل: رباعي لازم متعد بحرف). أَسْرَى، يُسْرِي، مصدر إِسْراءٌ. ; 1.""أَسْرَتِ القافِلَةُ لَيْلاً"": خَرَجَتْ، سَارَتْ لَيْلاً.الإسراء آية 1سُبْحانَ الَّذِي أَسْرَى بِعَبْدِهِ لَيْلاً مِنَ الْمَسْجِدِ الحرامِ إلى الْمَسْجِدِ الأقْصَى (قرآن). ; 2.""أَسْراهُ أو بِهِ"" : سَيَّرَهُ لَيْلاً. ; 3.""أَسْرَى الحِجابَ عَنْهُ"" : نَزَعَهُ، أَلْقاهُ."
سَفِدَ,"[س ف د]. (فعل: ثلاثي متعد). سَفِدَ، يَسْفَدُ، مصدر سَفَدٌ. ""سَفِدَ الحَيَوانُ الذَّكَرُ الأُنْثَى"" : جَامَعَهَا، نَزَا عَلَيْهَا، سَفَدَهَا."
أَضْيَقُ,"[ض ي ق]. (أَفْعَلُ التَّفْضيلِ). ; 1.""هَذا أَضْيَقُ شارِعٍ في الْمَدينَةِ"" : عَرْضُهُ ضَيِّقٌ لا يَسَعُ إِلاَّ عَدَداً قَليلاً مِنَ المارَّةِ. ""إِنَّهُ أَضْيَقُ طَريقٍ في المِنْطَقَةِ"". ; 2.""ما أَضْيَقَ العَيْشَ لَوْلاَ فُسْحَةُ الأَمَلِ""(الطغرائي) : ما أَشَدَّ ضَيْقَ العَيْشِ."
أَطَلَّ,"[ط ل ل]. (فعل: رباعي لازم متعد بحرف). أَطْللَت، أُطِلُّ، أَطْلِلْ، مصدر إِطْلالٌ. ; 1.""أَطَلَّ مِنَ النَّافِذَةِ"": أَشْرَفَ، أَظْهَرَ نَفْسَهُ مِنْها. ; 2.""أَطَلَّ القَمَرُ على السُّهولِ"": أَشْرَفَ. ""خَجولاً أَطَلَّ وَراءَ الجِبالِ"". (عبد الرفيع الجوهري). ; 3.""أَطَلَّ الزَّمانُ"" : قَرُبَ. ; 4.""أَطَلَّ الدَّمَ"" : أَبَاحَهُ، أَهْدَرَهُ. ; 5."" أَطَلَّ على حَقِّهِ"" : غَلَبَهُ عَلَيْهِ. ; 6.""أَطَلَّ عَلَيْهِ بِالأَذَى"" : دَامَ على إِيذائِهِ."
عَقَصَ,"[ع ق ص]. (فعل: ثلاثي متعد). عَقَصْتُ، أَعْقِصُ، اِعْقِصْ، مصدر عَقْصٌ. ; 1.""عَقَصَتِ الْمَرْأَةُ شَعْرَها"" : أَخَذَتْ كُلَّ خُصْلَةٍ مِنْهُ فَلَوَتْهَا، ثُمَّ عَقَدَتْها حَتَّى يَبْقَى فِيها اِلْتِواءٌ، ثُمَّ أَرْسَلَتْها. ; 2.""عَقَصَ أَمَرَهُ"" : لَوَّاهُ، لَبَّسَهُ."
فَرُسَ,"[ف ر س]. (فعل: ثلاثي لازم). فَرُسْتُ، أَفْرُسُ، اُفْرُسْ، مصدر فَرَاسَةٌ، فُرُوسِيَّةٌ. ""فَرُسَ الفَارِسُ"" : كَانَ مَاهِراً في أَمْرِ الخَيْلِ ورُكُوبِهَا."
أَبُو فِرَاسٍ,[ف ر س].: الأَسَدُ.
فَزَّ,"[ف ز ز]. (فعل: ثلاثي لازم متعد بحرف). فَزَّ، يَفَزُّ، مصدر فَزٌّ. ; 1.""فَزَّهُ عَن مَكَانِهِ"" : أَزَالَهُ عَنْهُ. ; 2.""فَزَّ الوَلَدَ"" : أَفْزَعَهُ، أَزْعَجَهُ. ; 3.""فَزَّ عَنْهُ"" : عَدَلَ، تَنَحَّى، اِنْفَرَدَ."
فَلِسَ,"[ف ل س]. (فعل: ثلاثي لازم، متعد بحرف). فَلِسَ، يَفْلَسُ، مصدر فَلَسٌ. ""فَلِسَ مِنَ الشَّيْءِ"" : خَلا مِنْهُ، تَجَرَّدَ."
قِسْطَاسٌ,"[ق س ط س]. ""وَزَنَ بِالقِسْطَاسِ"" : بِأَضْبَطِ مِيزَانٍ وَ أَقْوَمِهِ.الإسراء آية 35وَزِنُوا بِالقِسْطَاسِ الْمُسْتَقِيمِ ( قرآن)."
