word,definition
أبلى,أَبْلَى يُبْلِي أَبْلِ إبلاءُ [ بلي]: بذل أقصى جهده! أبلى في الحرب/ ابلى بلاءً حسناً، أي بذل جهداً عظيماً وجيداً.- ـه اللهُ: صنع به صنعاً جميلاً؛ ما علمتُ أحداً أبلاه الله أحسن مما أبلاني، وقد يكون للشر ايضاً؛ يبلي اللهُ تعالى العبدَ بلاءً حسناً وبلاءً سيئاً،- الثوبَ: أخلقه وجعله رثّاً. - ـه: اختبره.
إبليس,إبْلِيسُ : عَلَمُ جنس للشيطان فَسَجَدَ الملائِكَة كلُّهٌمْ أجْمَعُونَ إلاَّ إبْلِيسَ أَبَى أَنْ يَكُونَ مَعَ السَّاجِدِينَ ج أَبَالِسَةُ وأَباليسُ (معـ)
أبن,أَبَنَ يأبِنُ أَبْناً :- الدمُ في الجرح: اسودّ،- ـه: عابه.
أبن,أبَنَّ يُبِنُّ إبْنَاناً :- السحابُ: دام مطره أياماً؛ اَبنَّ السحاب فارتوت الأرض.- ت الدَّابَّةُ: أعيت فلزمت مكانها.
أبنى,أبْنَى يُبْنِي اَبْنِ إبْناءً :- بزوجته: تزوّجها.- فلاناً: جعله يبني بيتاْ أو جداراً؛ أبناه غرفة عالية.
أبه,أَبِهَ يَأْبَهُ اِئْبَهُ أَبْهاً وأَبَهاً :- به وله: فَطن له وتنبَّه، عُنيَ به واهتمّ له؛ شيء لا يؤْبَه له أوبه، أي لا يُحفل به.
أبهج,أَبْهَجَ يُبْهِجُ إبْهاجاً :- تِ الأرضُ: حسن نباتها.- ـه: سرَّه؛ أبهجه تفوّق ابنه.
أبهر,أَبْهَر يُبْهِرُ إِبْهاراً :- الناسَ: أثار إعجابهم؛ أبهر العالِمُ الناسَ باكتشافاته/ شيء يُبهر الأبصار.- الشخصُ: استغنى بعد فقر.- الشخص: تلون في أخلاقه؛ لا يُطْمَأَنُّ إلى من يُبْهر.- النهار: انتصف.
أبهظ,أَبْهَظَ يُبْهِظُ إبْهاظاً :- ـه الحملُ أو الأمرُ: شقَّ عليه وأثقله؛ أبهظتْهُ تبعةُ أولاده، - حوضَه: ملأه.
أبهل,أَبْهَلَ يُبْهِلُ إبْهالاً :- ـه: تركه وخلاّه وشأنه؛ أبهل الراعي رعيّته.- الأرضَ: بذرها ثم أرسل الماء فيها.
أبهم,أبْهَمَ يُبْهِمُ إبْهاماً :- الأمرُ: خفي وكان غير واضح؛ تعقدت القضية وأبهمت. - الأمرَ: جعله غامضاً؛ يتصف أسلوب هذا الكاتب بالإبهام.- فلاناً عن الأمر: نحّاه.
أبهى,أَبْهَى يُبْهِي أَبْهِ إِبْهاء َ[بهي]: حسُن وجمُل؛ أبهت البنتُ حين صارت صبيَّةً. - الشيءَ: أخلاه؛ أبهى الدار.
أبو_الركب,أبو الرُّكَب ِ : مرض ميكروبيّ يشبه النزلة يتميّز بوجعَ العضل والمفاصل.
أبو_الهول,أبو الهَوْلِ : نصب فرعوني ضخم جسمه جسم أسد ورأسه رأس إنسان وهو على مقربة من هرم الجيزة الأكبر بضواحي القاهرة في مصر.
أبو_جعران,أبو جَعْرانَ : الجُعَلُ وهو ضرب من الخنافس.
أبو_دينار,أبو دِينارٍ : صدف بحريّ يستخرج منه صباغ الأرجَوان.
أبى,أَبَى يَأْبَى اِئْبَ إِبَاءً [أبي]:- الشيءَ: كرهة ولم يرض به وإِذْ قُلْنَا لِلْمَلائِكَةِ اسْجُدُوا لآَدَمَ فَسَجَدُوا إِلاَّ إِبْلِيسَ أَبَى واسْتَكْبَرَ.- إلاّ أَن يفعلَ أصرَّعلى الفعل وَيَأْبَى اللَّهُ إلاَّ أَنْ يُتِمَّ نُورَهُ/ أَبَيْتَ اللَّعْنَ، تعبير كان يقال منذ أيام الجاهلية معناه حاشاك اللّه مما يُذَمُّ.- عليّ: استعصى.
أبي,أَبِيَ يَأْبَي ائْبَ أَبَيً [أبي]:- الغذاءَ ومنه: عافه فامتغ عنه.
أتأم,أَتْأَمَ يُتْئمُ إِتْاَماً :- تِ الحاملُ. وضعت أكثرَ من واحد قي بطن واحد.
أتا,أَتَا يَأْتُو اُؤْتُ أَتْواً وإِتَاءً [أتو]:- الشجرُ: طلع ثمره وكثر حمله؛ أتا الشجر هذا العام فكان موسم الفواكه جيِّداً.
أتا,أَتَا يَأْتُو اُؤْتُ إِتَاوَةً :- ـه: رشاه؛ شكم فمَه إذ أتاه إتاوةً.
أتابك,أَتابِكٌ : لقب أطلقه السلاجقة الأتراك على بعض كبار البلاط البارزين ومعناه الأب الوصيُّ ج أَتابِكَةٌ؛ أقام الأتابكة دولاً كثيرة في القرنين السابع والثامن للهجرة في فارس وسنجار والموصل والجزيرة وأربيل وأذربيجان.
أتاح,أَتَاحَ يُتِيحُ أَتِحْ إِتاحَةً [تيح]:- الأَمرَ: هيّأه وقدّره؛ أتاح المصنع فرصة العمل لأربعين عاملاً إضافياً.
أتاع,أَتَاعَ يُتِيعُ أَتِعْ إِتَاعَةً [تيع]: قَاءَ؛ من أعراض مرضه أنه يُتيع كثيراً.- دَمَهُ: أساله.
أتب,أَتَبَّ يُتِبُّ إِتْباباً :- ـه أَضعفه؛ أَتَبَّ الله قوَّته.
أتبع,أَتْبَعَ يُتْبِعُ إِتْباعاً ،- فلان بكلامه: أتى بكلمتين على وزن واحد تؤكِّد الثانية الأولى وقد تكون بمعناها أو لا معنى لها؛ خبيثٌ نبيث.- تِ الماشيةُ: صارت ذات تبيع أيْ لها صغير يتبعها.- فلاناً: تبعه.- ـه: أَدركه؛ ما زلت أتبعهم حتى أتبعْتُهم.- ــه الشيءَ أو بالشيءِ: ألحقه به؛ أتبعَ القولَ فعلاً او بالفعل.
أتبل,أَتْبَلَ يُتْبِلُ إِتْبالاً :- ـه الدَّهرُ: ذهب بعقله؛ له تَصرُفات غريبة كأنما الدهر قد أتبله.
أتى,أَتَّى يَؤَتِّي أَتِّ تَأْتِيَةً [أتي]:- الماءَ وللماءِ: وجَّهَ له مجرى ليسيل إلى مقره.
أتحف,أَتْحَفَ يُتْحِفُ إِتْحافًا :- ـه: أعطاه تحفة أي طرفة أوأيّ شيء له قيمة فنية أو أثرية؛ أتحفه بتمثال أثري.
أتخم,أَتْخَمَ يُتْخِمُ إتْخامًا [ وخم]:- ـه الطعامُ: أصابه بالتخمة، أي بداء يصيب الإنسان من أكل الطعام الوخيم أو من امتلاء المعدة.
أترب,أَتْرَبَ يُتْرِبُ إتْرابًا : كثر ماله؛ يُترب تجار السلاح في أوقات الحروب بشكل خاص.- الشيء: وضع عليه التراب.
أترح,أَتْرَحَ يُتْرِحُ إِتْراحًا : أحزن؛ أترحه نبأ وفاة صديقه.
أترع,أترَعَ يُتْرِعُ إِتْراعًا :- الإناءَ؛ ملأَه؛ أترع كأسه وشربه حتى الثمالة.
أترف,أَتْرَفَ يُتْرِفُ إتْرافًا : بطر وأصرَّ على البغى.- فلانًا: وسَّع عليه ونعَّمه وَأَتْرَفْنَاهُمْ فِي الحَيَاةِ الدُّنْيَا.
أترى,أتْرَى يُتْرِي أَتْرِ إِتْراءً [ تري]،: عمل أعمالاً متواترة بين كل عملين فترة؛ أَتْرى في سقايته الأرض.
أتسع,أتْسَعَ يُتْسِعُ إِتْساعًا :- القومُ: صار عددهم تسعة. - العددَ: جعله تسعة.
أتعب,أَتْعَبَ يُتْعِبُ إتْعابًا :- ـه: أصابه بالكَلِّ والمشقَّة؛ أتعب ربُّ العمل عماله فتمرَّدوا.
أتعس,أَتْعَسَ يُتْعِسُ إتْعاسًا : - ـه: جعله تعيسًا، أي سيءَ الحظّ أو الحال. - ـه اللَّهُ: أهلكه؛ أتعسه اللَّه ما أغباه.
أتفر,أَتْفْرَ يُتْفِرُ إتْفارًا :- الشجرُ: ظهرت براعمه؛ أقبل الربيع وأتفر الشجر.
أتفه,أَتْفَهَ يُتْفِهُ إتْفاهًا :- في العطاء: قلَّله؛ أعطيتَ فأتفهتَ.
أتقن,أَتْقَن يُتْقِنُ إتْقانًا :-العمل:أحكمه صُنْعَ اللَّهِ الَّذِي أَتْقَنَ كُلَّ شَيْءٍ .
أتكا,أَتْكَاَ يُتْكِيءُ إِتْكاءُ [ وكأ]:- فلانًا: أجلسه وجعله يستند إلى شيء ما.
أتلد,أَتْلَدَ يُتْلِدُ إتْلادًا : كان ذا مال تالد، أي قديم موروث.
أتلع,أَتْلَعَ يُتْلِعُ إتْلاعًا :- الرجلُ: مدَّ عنقه متطاولا؛ أتلع من خلف الجمهور المحتشد كي يرى المشهد.- تِ المرأةُ: رفعت رأسها تتعرَّض للناظرين.- النهارُ: ارتفع.
أتلف,أَتْلَفَ يُتْلِفُ إتْلافًا :- ـه: أهلكه وأفناه؛ أتلف أوراقه السرِّية/ أتلف ماله بالإسراف.
أتلى,أَتْلَى يُتْلِي أَتْلِ إتْلاء [ تلو]:- فلانًا: جعله تابعًا له.- ـه الشيءَ: أتبعه إِيَّاه؛ أتلاه اللَّه أطفالاً.- ـه حقَّه: أبقى منه
أتمر,أَتْمَرَ يُتْمِرُ إتْمارًا :- القومُ: كثر تمرهم.- النخلُ: حمل التمر-- اللَّهُ فيك: بارك فيك.
أتم,أَتَمَّ يُتِمُّ أَتْمِمْ أوأَتِمَّ إِتْمامًا : أكمل؛ أتمَّ عمله على أحسن وجه.- القمرُ: امتلأ.
أتن,أَتَنَ يَاْتُنُ أَتْنًا :- تِ المرأةُ: وضعت الولد منكوساً.
أتن,أَتَنَّ يُتِنُّ إتْنَانًا :- المرضُ الصبي: قصعه فعاقه عن النمو.
أتهم,أَتْهَمَ يُتْهِمُ إِتْهامًا :- البلد: استوخمه واستخبث ريحه.
